car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Hyundai,Avante,2007,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,200 JOD"
Jeep,Wrangler,2015,Automatic,"120,000 - 129,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"23,800 JOD"
Hyundai,Accent,1993,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Installments Only,N/A
Ford,Fusion,2019,Automatic,"40,000 - 49,999",Without Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Volkswagen,E-Golf,2019,Automatic,"10,000 - 19,999",With Customs,Electric,Less than 50 kWh,Cash Only,"12,800 JOD"
BMW,E46,2002,Automatic,"140,000 - 149,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,000 JOD"
Honda,Accord,2019,Automatic,"40,000 - 49,999",Without Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Kia,Sportage,2007,Automatic,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,700 JOD"
Peugeot,Partner,2014,Manual,1 - 999,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,600 JOD"
Toyota,Prius,2015,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"12,000 JOD"
Mitsubishi,L200,2023,Manual,"30,000 - 39,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"21,500 JOD"
Peugeot,206,2005,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Toyota,Camry,2022,Automatic,"1,000 - 9,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"32,500 JOD"
BMW,M3,1992,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"2,800 JOD"
Toyota,bZ3X,2023,Automatic,"1,000 - 9,999",With Customs,Electric,50 - 69 kWh,Cash Only,
Mitsubishi,Lancer,1998,Manual,0,With Customs,Gasoline,N/A,Cash Only,"3,300 JOD"
Chevrolet,Bolt,2019,Automatic,"60,000 - 69,999",Without Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Mercedes Benz,CLA 250,2019,Automatic,"20,000 - 29,999",Without Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,
Hyundai,Sonata,2013,Automatic,"1,000 - 9,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"10,000 JOD"
Ford,Fusion,2013,Automatic,"120,000 - 129,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"12,500 JOD"
Isuzu,D-Max,2015,Manual,"140,000 - 149,999",With Customs,Diesel,N/A,Cash Only,"11,800 JOD"
Toyota,Corolla,2012,Automatic,"120,000 - 129,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"10,000 JOD"
Chevrolet,Cruze,2010,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,000 JOD"
Renault,Dokker Van,2020,Manual,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,000 JOD"
Ford,Mondeo,2008,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,250 JOD"
Hyundai,Avante,1997,Manual,"70,000 - 79,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"2,999 JOD"
Hyundai,Verna,1999,Manual,0,With Customs,Gasoline,N/A,Cash Only,"3,000 JOD"
Kia,Bongo,1995,Manual,"1,000 - 9,999",With Customs,Diesel,500 - 999 cc,Cash Only,"2,000 JOD"
BMW,740,2017,Automatic,"80,000 - 89,999",With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash Only,"39,800 JOD"
Hyundai,H-1 Starex,2011,Automatic,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"6,800 JOD"
Kia,Ray,2013,Automatic,"110,000 - 119,999",With Customs,Electric,Less than 50 kWh,Cash Only,"2,000 JOD"
Mazda,3,2013,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Hyundai,Tucson,2022,Automatic,0,Without Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,
Volkswagen,ID.4,2022,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash Only,
Nissan,Sunny,2012,Automatic,"140,000 - 149,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"7,300 JOD"
Kia,Sephia,1996,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,900 JOD"
Honda,Civic,2005,Manual,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,400 JOD"
Hyundai,Sonata,2013,Automatic,1 - 999,With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"5,500 JOD"
Mercedes Benz,SE 300,1984,Automatic,"180,000 - 189,999",With Customs,Gasoline,"3,000 - 3,999 cc",Installments Only,N/A
Hyundai,Other,2019,Manual,0,With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"17,000 JOD"
Mercedes Benz,C 200 Coupe,2020,Automatic,"50,000 - 59,999",With Customs,Mild Hybrid,"More than 6,000 cc",Cash Only,"38,500 JOD"
Hyundai,Verna,2000,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,750 JOD"
Volkswagen,ID.4,2021,Automatic,"40,000 - 49,999",Without Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Volkswagen,ID.4,2021,Automatic,"40,000 - 49,999",Without Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Mercedes Benz,CLK 200,2005,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"12,500 JOD"
Kia,Optima K5,2019,Automatic,"60,000 - 69,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"16,000 JOD"
Mercedes Benz,E 200,2014,Automatic,"120,000 - 129,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"24,000 JOD"
Opel,Vectra,1993,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,700 JOD"
Kia,Carens,2003,Automatic,"+200,000",With Customs,Gasoline,N/A,Cash Only,"5,600 JOD"
Hyundai,Avante,1997,Manual,"120,000 - 129,999",With Customs,Gasoline,N/A,Cash Only,"3,000 JOD"
Honda,Accord,1997,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
BMW,330,2017,Automatic,"40,000 - 49,999",With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash Only,"25,500 JOD"
Chevrolet,Spark,2020,Automatic,"50,000 - 59,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,250 JOD"
Hyundai,Accent,1995,Manual,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,600 JOD"
Nissan,Sunny,2008,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,650 JOD"
Land Rover,Range Rover Evoque,2019,Automatic,"60,000 - 69,999",With Customs,Gasoline,"5,000 - 5,999 cc",Installments Only,N/A
Mercedes Benz,C 180,2007,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"11,500 JOD"
Toyota,Hilux,2007,Manual,"190,000 - 199,999",With Customs,Diesel,N/A,Cash or Installments,N/A
Opel,Vectra,1993,Manual,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,750 JOD"
Kia,Niro,2020,Automatic,"70,000 - 79,999",With Customs,Electric,70 - 89 kWh,Cash Only,"18,300 JOD"
Daewoo,Nubira,1997,Manual,"170,000 - 179,999",With Customs,Gasoline,N/A,Cash Only,"1,850 JOD"
Toyota,RAV 4,2018,Automatic,"100,000 - 109,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"19,999 JOD"
Hyundai,Sonata,2016,Automatic,"130,000 - 139,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"12,500 JOD"
Toyota,Prius+,2015,Automatic,"80,000 - 89,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"12,150 JOD"
Hyundai,Accent,2013,Automatic,"50,000 - 59,999",Without Customs,Gasoline,0 - 499 cc,Cash Only,"3,500 JOD"
Land Rover,Range Rover Sport,2006,Automatic,"170,000 - 179,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"11,500 JOD"
Nissan,Sunny,2012,Manual,0,With Customs,Gasoline,"More than 6,000 cc",Cash Only,"40,000 JOD"
Toyota,Prius,2017,Automatic,"+200,000",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"15,250 JOD"
GMC,Terrain,2008,Automatic,"100,000 - 109,999",With Customs,Gasoline,N/A,Cash Only,"7,200 JOD"
Mercedes Benz,E 200,2004,Automatic,"30,000 - 39,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"11,111 JOD"
Kia,Bongo,2002,Manual,"100,000 - 109,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash or Installments,N/A
Volkswagen,E-Bora,2019,Automatic,"20,000 - 29,999",With Customs,Electric,Less than 50 kWh,Cash Only,
Porsche,Cayenne Turbo,2012,Automatic,"150,000 - 159,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,
Nissan,Navara,2016,Automatic,"40,000 - 49,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"12,000 JOD"
Toyota,Prius,2014,Automatic,0,With Customs,Hybrid,N/A,Cash Only,"11,000 JOD"
Mitsubishi,Lancer,2017,Automatic,1 - 999,With Customs,Gasoline,N/A,Cash Only,"9,000 JOD"
Daewoo,Lanos,1999,Manual,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,999 JOD"
Kia,Optima K5,2012,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"5,900 JOD"
Hyundai,Avante,2007,Automatic,0,With Customs,Gasoline,N/A,Cash or Installments,N/A
Kia,Sportage,2015,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"12,150 JOD"
Jeep,Cherokee,2000,Manual,0,With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"5,000 JOD"
Smart,Fortow,2013,Automatic,"130,000 - 139,999",With Customs,Electric,Less than 50 kWh,Cash Only,"4,500 JOD"
Mercedes Benz,C 200,2015,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"30,500 JOD"
Toyota,Camry,2018,Automatic,1 - 999,With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Avante,1995,Manual,1 - 999,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,650 JOD"
Toyota,Hilux,1998,Manual,1 - 999,With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"6,300 JOD"
Hyundai,Tucson,2006,Automatic,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,500 JOD"
Hyundai,Avante,2010,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,200 JOD"
Hyundai,H-1 Starex,2000,Manual,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"3,000 JOD"
Toyota,Camry,2007,Automatic,"100,000 - 109,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"8,300 JOD"
Tesla,Other,2022,Automatic,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"7,800 JOD"
Toyota,RAV 4,2020,Automatic,"30,000 - 39,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Kia,Bongo,2011,Manual,0,With Customs,Diesel,N/A,Cash Only,"8,000 JOD"
BMW,750,2006,Automatic,"180,000 - 189,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"9,000 JOD"
Daihatsu,Delta,2006,Manual,"140,000 - 149,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"10,800 JOD"
Ford,Fusion,2013,Automatic,0,With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"10,500 JOD"
Kia,Pregio,2002,Manual,"+200,000",With Customs,Diesel,"More than 6,000 cc",Cash Only,"4,200 JOD"
Ford,Fusion,2019,Automatic,"100,000 - 109,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"15,500 JOD"
BMW,i3,2015,Automatic,"60,000 - 69,999",With Customs,Electric,More than 100 kWh,Cash Only,"14,800 JOD"
Hyundai,Avante,1995,Automatic,"1,000 - 9,999",With Customs,Gasoline,N/A,Cash Only,"3,000 JOD"
Ford,Fusion,2017,Automatic,"100,000 - 109,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"12,500 JOD"
Opel,Omega,1995,Automatic,"20,000 - 29,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Peugeot,607,2006,Manual,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,500 JOD"
Audi,A4,2006,Automatic,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,000 JOD"
Mitsubishi,Other,2015,Automatic,1 - 999,With Customs,Gasoline,N/A,Cash Only,"9,500 JOD"
Hyundai,H-1 Starex,2008,Automatic,0,With Customs,Diesel,N/A,Cash Only,"5,800 JOD"
Hyundai,Accent,2012,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,000 JOD"
Hyundai,Accent,1996,Manual,"160,000 - 169,999",With Customs,Gasoline,"1,000 - 1,999 cc",Installments Only,N/A
Mercedes Benz,E 200,2011,Automatic,"60,000 - 69,999",With Customs,Gasoline,N/A,Cash Only,"25,850 JOD"
Toyota,Corolla,1991,Manual,"30,000 - 39,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"2,200 JOD"
Hyundai,Ioniq,2017,Automatic,"150,000 - 159,999",With Customs,Electric,Less than 50 kWh,Cash Only,"12,500 JOD"
Hyundai,Ioniq,2020,Automatic,"20,000 - 29,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,
Kia,Sephia,1997,Manual,0,With Customs,Gasoline,N/A,Cash Only,"2,900 JOD"
Hyundai,Avante,2004,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,500 JOD"
Jac,S3,2018,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,800 JOD"
Chery,QQ,2006,Manual,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,200 JOD"
Audi,A4,2005,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Kia,K3,2019,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"14,800 JOD"
Volkswagen,Jetta,2009,Automatic,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,300 JOD"
Hyundai,Avante,1995,Manual,0,With Customs,Gasoline,N/A,Cash Only,"4,400 JOD"
Lincoln,MKZ,2017,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"18,000 JOD"
Toyota,Hilux,2013,Manual,"1,000 - 9,999",With Customs,Diesel,N/A,Cash Only,"13,500 JOD"
Mercedes Benz,E 200,1999,Automatic,"20,000 - 29,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Avante,2002,Automatic,0,With Customs,Gasoline,N/A,Cash or Installments,N/A
Mitsubishi,L200,2008,Manual,"30,000 - 39,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,
Toyota,Dyna,1983,Manual,0,With Customs,Diesel,0 - 499 cc,Cash Only,"3,500 JOD"
BMW,i7,2007,Automatic,"120,000 - 129,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"10,500 JOD"
Toyota,Corolla,1989,Manual,"1,000 - 9,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"2,500 JOD"
Kia,Spectra,2001,Manual,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,700 JOD"
Nissan,Sunny,2019,Automatic,"30,000 - 39,999",Without Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Atos,1997,Manual,"30,000 - 39,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,300 JOD"
Hyundai,Sonata,2016,Automatic,"1,000 - 9,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"14,000 JOD"
Mitsubishi,Lancer,2013,Automatic,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,800 JOD"
Toyota,Camry,2019,Automatic,0,With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"17,300 JOD"
Honda,Accord,2006,Automatic,"160,000 - 169,999",With Customs,Hybrid,N/A,Cash Only,"3,800 JOD"
Volkswagen,E-Golf,2020,Automatic,"20,000 - 29,999",With Customs,Electric,Less than 50 kWh,Cash Only,"13,800 JOD"
Hyundai,Tucson,2009,Automatic,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,000 JOD"
BMW,530e,2020,Automatic,0,With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash Only,"41,500 JOD"
Honda,Civic,1997,Manual,1 - 999,With Customs,Gasoline,N/A,Cash Only,"5,000 JOD"
Citroen,Xsara,2001,Manual,1 - 999,With Customs,Gasoline,500 - 999 cc,Cash Only,"1,000 JOD"
Hyundai,H-1 Starex,2016,Automatic,"170,000 - 179,999",With Customs,Diesel,N/A,Cash Only,"12,000 JOD"
Nissan,Sunny,2019,Automatic,"30,000 - 39,999",With Customs,Gasoline,N/A,Cash Only,"9,900 JOD"
Mercedes Benz,E 200,1996,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,500 JOD"
Hyundai,Elantra,2016,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"32,000 JOD"
Jeep,Grand Cherokee,2005,Automatic,1 - 999,With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"7,900 JOD"
Toyota,Prius,2010,Automatic,"180,000 - 189,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"9,350 JOD"
Renault,Logan,2011,Manual,"1,000 - 9,999",With Customs,Gasoline,N/A,Cash Only,"4,000 JOD"
Ford,Fusion,2012,Automatic,"30,000 - 39,999",With Customs,Hybrid,"3,000 - 3,999 cc",Cash Only,"9,400 JOD"
Kia,Sephia,1994,Manual,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,700 JOD"
Chevrolet,Silverado,1994,Manual,"1,000 - 9,999",With Customs,Diesel,"More than 6,000 cc",Cash Only,"3,800 JOD"
Hyundai,Sonata,2015,Automatic,"1,000 - 9,999",With Customs,Mild Hybrid,"1,000 - 1,999 cc",Cash Only,"9,500 JOD"
Honda,Civic,2004,Manual,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,000 JOD"
Lexus,ES 300,2013,Automatic,"150,000 - 159,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"13,900 JOD"
Chevrolet,Captiva,2021,Automatic,"20,000 - 29,999",With Customs,Gasoline,N/A,Cash Only,"20,000 JOD"
Kia,Picanto,2016,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,700 JOD"
Hyundai,Avante,1997,Manual,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,400 JOD"
Mazda,3,2019,Automatic,"40,000 - 49,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
BMW,525,1989,Manual,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"3,800 JOD"
Hyundai,Avante,2005,Automatic,"110,000 - 119,999",With Customs,Gasoline,N/A,Cash Only,"6,500 JOD"
Mercedes Benz,Vito,2010,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"11,000 JOD"
Hyundai,Porter,2017,Manual,"190,000 - 199,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"10,800 JOD"
Volkswagen,Passat,2009,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"7,350 JOD"
Hyundai,Santamo,1997,Manual,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"2,200 JOD"
Hyundai,Sonata,2015,Automatic,"120,000 - 129,999",With Customs,Hybrid,N/A,Cash Only,"12,000 JOD"
Toyota,Corolla,2004,Manual,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,200 JOD"
Kia,Niro,2019,Automatic,"60,000 - 69,999",With Customs,Electric,50 - 69 kWh,Cash Only,999 JOD
Opel,Vectra,1994,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Optima,2012,Automatic,"1,000 - 9,999",With Customs,Hybrid,N/A,Cash Only,"10,350 JOD"
Lexus,CT 200,2015,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"12,500 JOD"
Volkswagen,Golf MK4,2000,Manual,"+200,000",With Customs,Gasoline,N/A,Cash Only,"4,800 JOD"
Honda,CR-V,2013,Automatic,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"15,200 JOD"
Kia,Niro,2023,Automatic,"10,000 - 19,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"23,300 JOD"
Kia,Forte,2010,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"7,350 JOD"
Nissan,Sunny,2001,Manual,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,700 JOD"
Tesla,3,2019,Automatic,"10,000 - 19,999",With Customs,Electric,90 - 99 kWh,Cash Only,"17,700 JOD"
Ford,Fusion,2016,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"11,500 JOD"
Kia,Picanto,2016,Manual,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Toyota,Camry,2020,Automatic,"110,000 - 119,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"20,500 JOD"
Tesla,X,2017,Automatic,"110,000 - 119,999",With Customs,Electric,50 - 69 kWh,Cash Only,"38,500 JOD"
Hyundai,Avante,2012,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"8,100 JOD"
BMW,M5,2007,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"11,500 JOD"
Hyundai,Kona,2020,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Tesla,3,2019,Automatic,"10,000 - 19,999",With Customs,Electric,90 - 99 kWh,Cash Only,"17,700 JOD"
Mazda,MX-3,2007,Manual,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,300 JOD"
Kia,Bongo,2005,Manual,"180,000 - 189,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"6,500 JOD"
Mitsubishi,Galant,2004,Manual,"140,000 - 149,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,700 JOD"
Kia,Niro,2022,Automatic,"10,000 - 19,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"20,500 JOD"
Hyundai,H100,1999,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"3,800 JOD"
Hyundai,Sonata,2014,Automatic,"170,000 - 179,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,600 JOD"
Toyota,Corolla,2015,Automatic,"1,000 - 9,999",Without Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,000 JOD"
Ford,Fusion,2017,Automatic,"170,000 - 179,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Mercedes Benz,CLA 45 AMG,2018,Automatic,"160,000 - 169,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"43,000 JOD"
Mitsubishi,Lancer,2010,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,300 JOD"
Daihatsu,Mira,1998,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Great Wall,M2,2011,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Ioniq,2017,Automatic,0,With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"11,600 JOD"
Toyota,Prius C,2018,Automatic,"10,000 - 19,999",Without Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"13,200 JOD"
Hyundai,Avante,1995,Manual,"50,000 - 59,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,950 JOD"
Hyundai,Avante,1996,Automatic,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"2,888 JOD"
Mercedes Benz,GL 500,2014,Automatic,1 - 999,With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"80,000 JOD"
Chrysler,300C,2005,Automatic,"+200,000",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"7,800 JOD"
Volkswagen,Polo,1998,Manual,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,700 JOD"
Hyundai,Ioniq,2019,Automatic,"70,000 - 79,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Kona,2020,Automatic,"1,000 - 9,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"15,000 JOD"
Mitsubishi,L200,2005,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"6,250 JOD"
Ford,C-MAX,2013,Automatic,"10,000 - 19,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"11,250 JOD"
Mercedes Benz,C 200,2008,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"14,500 JOD"
Toyota,Avalon,2013,Automatic,"130,000 - 139,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"16,300 JOD"
Opel,Kadett,1987,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,650 JOD"
Mercedes Benz,E 190,1983,Manual,"1,000 - 9,999",With Customs,Gasoline,0 - 499 cc,Cash Only,"1,900 JOD"
Hyundai,Accent,1997,Automatic,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
SsangYong,Other,1998,Manual,"160,000 - 169,999",With Customs,Diesel,"5,000 - 5,999 cc",Cash Only,"3,500 JOD"
Mitsubishi,Lancer,2015,Automatic,"80,000 - 89,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"10,000 JOD"
Kia,Picanto,2013,Automatic,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"5,300 JOD"
Hyundai,Elantra,2014,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,500 JOD"
Hyundai,Avante,1995,Automatic,1 - 999,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,800 JOD"
