car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Volkswagen,ID.4,2021,Automatic,"10,000 - 19,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Volkswagen,ID.6,2022,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Kia,K3,2019,Automatic,"80,000 - 89,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Hyundai,Sonata,2018,Automatic,"100,000 - 109,999",With Customs,Hybrid,N/A,Cash Only,
Toyota,Prius,2016,Automatic,0,With Customs,Hybrid,N/A,Cash Only,"10,400 JOD"
BMW,530e,2018,Automatic,"40,000 - 49,999",Without Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash Only,"30,000 JOD"
Kia,Niro,2019,Automatic,"80,000 - 89,999",Without Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Changan,E-Star,2023,Automatic,0,Without Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Hyundai,i20,2012,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,000 JOD"
Volkswagen,ID.4,2022,Automatic,0,Without Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Hyundai,Ioniq,2020,Automatic,"50,000 - 59,999",With Customs,Hybrid,"5,000 - 5,999 cc",Cash or Installments,N/A
Volkswagen,ID.6,2022,Automatic,0,Without Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Kia,Optima K5,2018,Automatic,"120,000 - 129,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,900 JOD"
Hyundai,Ioniq,2020,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,000 JOD"
Toyota,RAV 4,2017,Automatic,1 - 999,With Customs,Hybrid,"5,000 - 5,999 cc",Cash Only,"13,900 JOD"
Kia,Forte,2010,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,200 JOD"
Ford,C-MAX,2013,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"8,700 JOD"
BMW,530e,2021,Automatic,"30,000 - 39,999",With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Mercedes Benz,E 200,2014,Automatic,"70,000 - 79,999",With Customs,Gasoline,N/A,Cash Only,"32,000 JOD"
Volkswagen,ID.6,2021,Automatic,"30,000 - 39,999",With Customs,Electric,70 - 89 kWh,Cash Only,"21,050 JOD"
Tesla,Y,2020,Automatic,"50,000 - 59,999",Without Customs,Electric,70 - 89 kWh,Cash Only,"25,500 JOD"
Hyundai,Ioniq,2020,Automatic,"70,000 - 79,999",With Customs,Hybrid,N/A,Cash Only,
Nissan,Leaf,2015,Automatic,"150,000 - 159,999",With Customs,Electric,Less than 50 kWh,Cash Only,"7,700 JOD"
Hyundai,Kona,2019,Automatic,"60,000 - 69,999",With Customs,Electric,50 - 69 kWh,Cash Only,"17,400 JOD"
Mercedes Benz,CLA 45 AMG,2014,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"29,000 JOD"
Mazda,3,2014,Automatic,"30,000 - 39,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"10,500 JOD"
Peugeot,308,2008,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,150 JOD"
Mazda,3,2015,Automatic,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,200 JOD"
Lexus,ES,2013,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"12,700 JOD"
Hyundai,Sonata,2018,Automatic,"140,000 - 149,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"17,200 JOD"
Mercedes Benz,C 180,2007,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"10,000 JOD"
Tesla,3,2023,Automatic,"1,000 - 9,999",With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
GMC,Yukon,2008,Automatic,"110,000 - 119,999",With Customs,Hybrid,"5,000 - 5,999 cc",Cash Only,"12,800 JOD"
Jeep,Gladiator,2021,Automatic,"10,000 - 19,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"34,000 JOD"
MG,MG HS,2021,Automatic,"30,000 - 39,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Hyundai,Ioniq,2019,Automatic,"40,000 - 49,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Bongo,2020,Automatic,"140,000 - 149,999",With Customs,Electric,50 - 69 kWh,Cash Only,"14,500 JOD"
Hyundai,i20,2012,Automatic,"120,000 - 129,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,850 JOD"
Mitsubishi,Lancer,2012,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,000 JOD"
Hyundai,Veloster,2012,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,250 JOD"
Other,Other,2021,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash Only,"29,500 JOD"
Ford,Focus,2017,Automatic,"+200,000",With Customs,Electric,Less than 50 kWh,Cash Only,"10,500 JOD"
Mazda,CX-30,2023,Automatic,"1,000 - 9,999",With Customs,Mild Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Mitsubishi,L200,2022,Manual,"80,000 - 89,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"16,000 JOD"
Mercedes Benz,C 350e,2017,Automatic,"160,000 - 169,999",With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash Only,"27,500 JOD"
Toyota,Prius,2019,Automatic,"80,000 - 89,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,000 JOD"
